date	2nd at Townsend to Harry Bridges Plaza	Embarcadero at Sansome to Steuart at Market	2nd at South Park to Market at Sansome	Steuart at Market to Embarcadero at Sansome	Market at Sansomme to 2nd at South Park	San Francisco Caltrain to Harry Bridges Plaza	San Francisco Caltrain to Townsend at 7th	Townsend at 7th to San Francisco Caltrain	Harry Bridges Plaza to 2nd at Townsend	Harry Bridges Plaza to Embarcadero at Sansome
0		1		1	3		3	6	1	2
1				4				1		
2					1		1	2		3
4		1								
5			1				1	1	13	
6	12	4	2	1	2	26	1	7	23	16
7	7	39	32	82	20	185	16	38	97	53
8	7	96	52	151	198	145	142	164	203	185
9	21	30	59	86	296	43	182	52	49	82
10	21	8	19	35	69	22	157	34	17	84
11	43	20	12	37	22	36	68	30	13	124
12	81	19	30	49	28	53	35	67	41	146
13	45	25	19	24	31	30	39	103	59	97
14	35	29	26	28	23	21	38	53	43	132
15	82	37	28	47	24	21	42	39	17	82
16	101	89	77	21	31	50	41	112	25	77
17	153	181	269	66	60	67	75	222	49	64
18	92	152	103	57	20	58	64	145	25	47
19	28	48	39	12	14	18	115	93	14	51
20	13	21	13	7	8	5	59	59	8	45
21	8	6	8	4	6	1	19	65	5	22
22	6	5	8	3	6	1	14	20	5	12
23	2		1	1	3		3	9	3	5
